sample_id,record_id,surface_group_id,source_group_id,v4_split,target_liquid_id,n_probes,n_unique_liquids,fit_status,boundary_fit,nnls_dispersion_mj_m2,nnls_polar_mj_m2,nnls_total_mj_m2,nnls_residual_norm,legacy_sqrt_dispersion,legacy_sqrt_polar,legacy_squared_dispersion_mj_m2,legacy_squared_polar_mj_m2,legacy_negative_coefficient,target_contact_angle_deg,nnls_physical_prediction_deg,legacy_squared_physical_prediction_deg
PA_MEA_7B1490122020,REC_56B0D8F3A55A,SFC_D900D5201DB3,SRC019,train,LIQ_6656B41AB7,2,2,interior_fit,no,18.856784158323357,2.4529789253132654,21.30976308363662,0.0,4.342439885401223,1.5661988779568372,18.85678415832339,2.4529789253132557,no,62.5,77.37799617772619,77.37799617772613
PA_MEA_024BF46B1B05,REC_244A912CB4FA,SFC_C44A751DCE9E,SRC019,train,LIQ_6656B41AB7,2,2,interior_fit,no,26.803706922572747,1.077541684041567,27.881248606614314,0.0,5.177229657120955,1.0380470529034653,26.803706922572758,1.0775416840415697,no,53.8,63.0787343240033,63.0787343240033
PA_MEA_4DA1BDFD4B0C,REC_9B27C1FBEDAB,SFC_33502EC79F24,SRC019,train,LIQ_53310FAFB3,2,2,interior_fit,no,27.65382844120731,3.50566616917264,31.15949461037995,0.0,5.258690753524808,1.8723424283962173,27.653828441207317,3.505666169172644,no,63.3,58.666999991011586,58.66699999101156
PA_MEA_1A3C94173AB6,REC_FF1F46505FC5,SFC_21ED5CFE6366,SRC019,train,LIQ_53310FAFB3,2,2,interior_fit,no,28.632588071325266,2.3876814235725936,31.02026949489786,0.0,5.350942727344897,1.545212420210439,28.632588071325245,2.387681423572602,no,65.4,61.22984027432342,61.22984027432342
PA_MEA_98A7519E8D69,REC_208F4C366795,SFC_2CBEAAA7843B,SRC019,train,LIQ_53310FAFB3,2,2,interior_fit,no,31.218301913057125,0.5141647498024232,31.732466662859547,0.0,5.587334061344203,0.7170528221842702,31.218301913057104,0.5141647498024267,no,74.9,67.42278553834295,67.42278553834295
PA_MEA_0FB8EB7E67B8,REC_51A12CE5D05C,SFC_D900D5201DB3,SRC019,train,LIQ_53310FAFB3,2,2,interior_fit,no,27.136204405340756,0.9989718870220793,28.135176292362836,0.0,5.209242210277878,0.9994858113160441,27.136204405340756,0.9989718870220908,no,75.0,69.48901886517818,69.48901886517812
PA_MEA_933BAAC2B3E6,REC_5E74FDF581E2,SFC_C44A751DCE9E,SRC019,train,LIQ_53310FAFB3,2,2,interior_fit,no,32.13133515128079,0.513928304433074,32.64526345571386,0.0,5.668450859915855,0.71688793017673,32.131335151280794,0.5139283044330761,no,69.5,66.29051597403677,66.29051597403674
PA_MEA_5CF84809D015,REC_AE4B20139659,SFC_0885B1C8D502,SRC019,train,LIQ_0F4168490E,2,2,interior_fit,no,31.218301913057104,5.199422111447452,36.41772402450456,0.0,5.587334061344199,2.280224136230353,31.218301913057065,5.199422111447459,no,71.2,80.55768861303055,80.55768861303056
PA_MEA_CA61A79AD8C3,REC_C59AA9631360,SFC_F5DABBA4867E,SRC019,train,LIQ_0F4168490E,2,2,interior_fit,no,33.65834920680147,0.002404939183555384,33.660754145985024,0.0,5.801581612526142,0.0490401792773594,33.65834920680143,0.0024049391835555506,no,97.3,104.25316023899349,104.2531602389935
PA_MEA_4D3395E9F38C,REC_53EC5CD270FD,SFC_56FA8A79F2C6,SRC019,train,LIQ_0F4168490E,2,2,interior_fit,no,35.92980473731228,1.0368989901417183,36.966703727454,0.0,5.994147540502505,1.0182823724987666,35.92980473731223,1.036898990141717,no,85.9,91.79637948964955,91.79637948964961
PA_MEA_363583AEB442,REC_7F8F719DDBBA,SFC_7354A757EA1D,SRC019,train,LIQ_0F4168490E,2,2,interior_fit,no,35.051455346087415,0.1935072698306335,35.24496261591805,0.0,5.920426956401657,0.4398946121864096,35.051455346087394,0.19350726983063168,no,92.9,98.87500966023917,98.87500966023923
PA_MEA_C44546AD5C4D,REC_9DD7A9299F87,SFC_C688F68936EE,SRC019,train,LIQ_0F4168490E,2,2,interior_fit,no,34.552621574581195,0.03279789902574877,34.58541947360695,0.0,5.878147801355558,0.18110190232503948,34.55262157458118,0.03279789902574814,no,97.1,102.15024673744729,102.15024673744732
PA_MEA_B4B2DC18E898,REC_17014257086B,SFC_0885B1C8D502,SRC019,train,LIQ_6656B41AB7,2,2,interior_fit,no,17.647642102025248,15.944611293751896,33.59225339577714,0.0,4.200909675537578,3.9930704093156053,17.64764210202524,15.944611293751896,no,55.4,79.69991463711017,79.69991463711018
PA_MEA_8F34D599491B,REC_E5D8C87D7B1F,SFC_F5DABBA4867E,SRC019,train,LIQ_6656B41AB7,2,2,interior_fit,no,22.634037989835097,1.7926850257706446,24.42672301560574,0.0,4.757524355148914,1.338911881256808,22.63403798983509,1.7926850257706446,no,51.1,70.42785570656572,70.42785570656574
PA_MEA_E43A1EDBE9B6,REC_338E42F686D0,SFC_56FA8A79F2C6,SRC019,train,LIQ_6656B41AB7,2,2,interior_fit,no,25.937668753798107,4.5442146724588,30.481883426256907,0.0,5.092903764435187,2.131716367732537,25.937668753798096,4.5442146724588,no,47.0,64.58933589546997,64.58933589546999
PA_MEA_1B8BD6E91A2E,REC_55F269A6CD49,SFC_7354A757EA1D,SRC019,train,LIQ_6656B41AB7,2,2,interior_fit,no,25.118231809163113,2.4412146463616415,27.559446455524753,0.0,5.011809235112918,1.5624386856327,25.11823180916313,2.441214646361639,no,48.6,66.02439868198897,66.02439868198897
PA_MEA_6C1120612ADF,REC_49F78FB57736,SFC_C688F68936EE,SRC019,train,LIQ_6656B41AB7,2,2,interior_fit,no,26.182214651059233,1.2580616999073158,27.44027635096655,0.0,5.116855934170829,1.1216334962488053,26.182214651059226,1.2580616999073186,no,49.5,64.16223672612226,64.16223672612227
PA_MEA_17635DD775C6,REC_53075680944E,SFC_0885B1C8D502,SRC019,train,LIQ_53310FAFB3,2,2,interior_fit,no,31.218301913057132,9.527283608930684,40.74558552198782,0.0,5.587334061344204,3.0866298140416357,31.218301913057115,9.527283608930702,no,48.1,35.48252515305581,35.48252515305581
PA_MEA_1C51B980E400,REC_86ED95D7F405,SFC_F5DABBA4867E,SRC019,train,LIQ_53310FAFB3,2,2,interior_fit,no,33.658349206801475,0.43074282755093735,34.08909203435241,0.0,5.801581612526147,0.6563100087237265,33.65834920680149,0.4307428275509379,no,71.9,65.10420423561654,65.10420423561654
PA_MEA_57FDF92C67C2,REC_C8D2BA164F11,SFC_56FA8A79F2C6,SRC019,train,LIQ_53310FAFB3,2,2,interior_fit,no,35.9298047373123,2.379261738062309,38.309066475374614,0.0,5.99414754050251,1.5424855714275985,35.929804737312296,2.379261738062325,no,58.0,51.308603304745446,51.3086033047454
PA_MEA_5DF09EEED9C3,REC_BF15D07218B1,SFC_7354A757EA1D,SRC019,train,LIQ_53310FAFB3,2,2,interior_fit,no,35.05145534608742,0.9377730398350512,35.98922838592247,0.0,5.92042695640166,0.9683868234517902,35.05145534608742,0.9377730398350487,no,65.9,59.71406691457768,59.71406691457768
PA_MEA_E0657E5D67C3,REC_20EEEC3FFA42,SFC_C688F68936EE,SRC019,train,LIQ_53310FAFB3,2,2,interior_fit,no,34.55262157458122,0.38925481326804157,34.941876387849256,0.0,5.878147801355559,0.6239028876900983,34.552621574581195,0.3892548132680434,no,69.4,64.38870564995042,64.38870564995042
PA_MEA_C2BC67E9C378,REC_983F6C4261E7,SFC_DE1051C618E6,SRC019,train,LIQ_0F4168490E,2,2,interior_fit,no,31.903553560061162,2.136887079647949,34.04044063970911,0.0,5.648323075042817,1.4618095223550653,31.90355356006114,2.1368870796479444,no,82.1,89.3519550875119,89.35195508751191
PA_MEA_841568C22BA2,REC_EE8F6D5976A6,SFC_8CC973346CC4,SRC019,train,LIQ_0F4168490E,2,2,interior_fit,no,33.377125593866396,1.0424279764696027,34.419553570336,0.0,5.777293968101883,1.0209936221493234,33.3771255938664,1.0424279764695954,no,86.1,93.36127051926269,93.36127051926273
PA_MEA_F32CE2C9D94B,REC_5B4B8AD835FD,SFC_94A74BED0696,SRC019,train,LIQ_0F4168490E,2,2,interior_fit,no,37.542842732662606,2.286144432700078,39.82898716536268,0.0,6.127221452882425,1.5120001430886396,37.54284273266262,2.2861444327000666,no,76.0,85.26278254218235,85.26278254218238
PA_MEA_1A105E77F8B8,REC_B33F662ADEEF,SFC_1D05D0C244CE,SRC019,train,LIQ_0F4168490E,2,2,interior_fit,no,35.98431458395228,3.1654159205112204,39.149730504463506,0.0,5.998692739585209,1.7791615779662084,35.984314583952305,3.165415920511209,no,75.0,83.19361308364546,83.19361308364549
PA_MEA_D28D7F5EC764,REC_D98BEFEAF526,SFC_B43DC569AF44,SRC019,train,LIQ_0F4168490E,2,2,interior_fit,no,38.94996102925669,3.393045667192493,42.34300669644919,0.0,6.2409903884925715,1.8420221679427433,38.949961029256656,3.3930456671924842,no,65.1,80.68122937650288,80.68122937650293
PA_MEA_F115B683C814,REC_674D3C6CF9E1,SFC_DE1051C618E6,SRC019,train,LIQ_6656B41AB7,2,2,interior_fit,no,20.638784991868878,7.994079154714392,28.63286414658327,0.0,4.54299295529598,2.82738026355041,20.638784991868903,7.994079154714387,no,54.2,74.0502281020214,74.05022810202135
PA_MEA_4E1FCE393618,REC_5114A4BF98EB,SFC_8CC973346CC4,SRC019,train,LIQ_6656B41AB7,2,2,interior_fit,no,21.78529254073396,5.722209808809922,27.50750234954388,0.0,4.667471750394853,2.3921140877495612,21.78529254073399,5.722209808809915,no,51.6,71.95739234382862,71.95739234382854
PA_MEA_6F70BD0227FB,REC_EDA5792A9168,SFC_94A74BED0696,SRC019,train,LIQ_6656B41AB7,2,2,interior_fit,no,22.381796124478207,10.478323569458103,32.86011969393631,0.0,4.7309403002445745,3.237023875330251,22.381796124478225,10.478323569458077,no,44.0,70.88084094673687,70.88084094673681
PA_MEA_855A8C82EF26,REC_8BFC7C50DE51,SFC_1D05D0C244CE,SRC019,train,LIQ_6656B41AB7,2,2,interior_fit,no,22.745155347321994,10.877744946191662,33.62290029351365,0.0,4.769188122450403,3.298142650976704,22.745155347322005,10.87774494619164,no,46.9,70.22870749806258,70.22870749806255
PA_MEA_A70996CEF9F7,REC_328AC2427D4F,SFC_B43DC569AF44,SRC019,train,LIQ_6656B41AB7,2,2,interior_fit,no,15.76398880749799,21.596629898685304,37.360618706183296,0.0,3.970388999518563,4.64721743613157,15.763988807498015,21.596629898685286,no,41.3,83.44724361385761,83.44724361385755
PA_MEA_FCD7F9E5494C,REC_47F2A8018FB8,SFC_DE1051C618E6,SRC019,train,LIQ_53310FAFB3,2,2,interior_fit,no,31.90355356006119,4.429839356880531,36.33339291694172,0.0,5.648323075042821,2.1047183557142626,31.90355356006119,4.429839356880549,no,57.8,49.48539295949794,49.485392959497894
PA_MEA_97F61B392E72,REC_85ECDED7EF2B,SFC_8CC973346CC4,SRC019,train,LIQ_53310FAFB3,2,2,interior_fit,no,33.377125593866424,2.7772731056538142,36.154398699520236,0.0,5.777293968101883,1.6665152581521159,33.3771255938664,2.7772731056538134,no,61.2,53.20213052592273,53.20213052592278
PA_MEA_9227D89E58CC,REC_41F008FF69D9,SFC_94A74BED0696,SRC019,train,LIQ_53310FAFB3,2,2,interior_fit,no,37.54284273266264,5.401621868114432,42.944464600777074,0.0,6.127221452882425,2.3241389519808076,37.54284273266262,5.401621868114447,no,49.5,37.16023465397138,37.160234653971415
PA_MEA_DF38ADE7F29B,REC_12905246C68F,SFC_1D05D0C244CE,SRC019,train,LIQ_53310FAFB3,2,2,interior_fit,no,35.98431458395233,6.221511464495656,42.20582604844799,0.0,5.998692739585211,2.4942957852860363,35.984314583952326,6.221511464495685,no,48.0,36.96396554049732,36.963965540497256
PA_MEA_86542109F60D,REC_2F56391852EE,SFC_B43DC569AF44,SRC019,train,LIQ_53310FAFB3,2,2,interior_fit,no,38.94996102925673,10.002698207883043,48.95265923713977,0.0,6.240990388492576,3.1627042555198,38.94996102925671,10.002698207883054,no,42.7,12.89570714999287,12.89570714999287
PA_MEA_A44682026FBE,REC_08F58031B0E2,SFC_FDBAA751F265,SRC019,train,LIQ_0F4168490E,2,2,interior_fit,no,35.60176376037067,0.9573901505146626,36.559153910885335,0.0,5.9667213576947455,0.9784631574641253,35.60176376037063,0.9573901505146656,no,87.8,92.4460022127417,92.44600221274172
PA_MEA_E92A5B2CAE67,REC_93E2A67D5AF3,SFC_A3F14E86132F,SRC019,train,LIQ_0F4168490E,2,2,interior_fit,no,36.038776691577546,2.3928619041854073,38.431638595762955,0.0,6.003230521275817,1.5468878124109062,36.03877669157751,2.392861904185399,no,78.9,85.78345333588666,85.7834533358867
