evaluation,novelty_stratum,model,sources,n,mae_deg,rmse_deg,r2,medae_deg,p90ae_deg
legacy_external,known_material_known_target_liquid,direct_xgboost,2,23,10.812407883353854,16.358192180706435,0.47973984372692347,4.938434600830078,34.9515885925293
legacy_external,known_material_known_target_liquid,ls_psrmoe_fusion,2,23,9.508517860077236,14.162223348860202,0.6100464904006071,5.116040536494879,25.201987953485396
nested_source_cv,known_material_known_target_liquid,nnls_physics,8,215,17.105397572093025,24.629505398356333,0.42120273447686996,12.339764000000002,39.7394624
nested_source_cv,known_material_known_target_liquid,physics_residual_xgboost,8,215,14.313244090760628,23.527779490974325,0.4718260569462597,8.83227065404256,31.166972757975255
nested_source_cv,known_material_known_target_liquid,physics_residual_random_forest,8,215,12.504447665001283,20.907871192160197,0.5829052520486591,7.569624088791997,26.614952492222535
nested_source_cv,known_material_known_target_liquid,direct_xgboost,8,215,16.703769172254457,27.096230490529663,0.2994601494561032,10.216077168782547,39.471770985921225
nested_source_cv,known_material_known_target_liquid,ls_psrmoe_fusion,8,215,13.428118282553777,23.04508928659099,0.49327552692881005,7.273872402574497,29.633862352181637
nested_source_cv,new_target_liquid,nnls_physics,2,8,50.217532500000004,53.98143103151843,-0.1785919345627871,50.737032500000005,69.35843849999999
nested_source_cv,new_target_liquid,physics_residual_xgboost,2,8,47.64959308008352,55.34661474742204,-0.23895862443420923,42.775651613871254,81.66214167277016
nested_source_cv,new_target_liquid,physics_residual_random_forest,2,8,44.66955276244903,49.36682375674297,0.014299335037054828,41.60458032157986,64.92041844506392
nested_source_cv,new_target_liquid,direct_xgboost,2,8,39.513899962107345,43.031198009113794,0.25106943973323526,38.05866050720215,58.048611831665035
nested_source_cv,new_target_liquid,ls_psrmoe_fusion,2,8,46.95090976621589,52.90895096770948,-0.1322256245116349,45.5450647251499,71.2688891075765
prospective_open_external,known_material_known_target_liquid,nnls_physics,2,59,12.58006266101695,16.3651241606946,0.49008866647433813,10.19462,28.67228800000001
prospective_open_external,known_material_known_target_liquid,physics_residual_xgboost,2,59,8.561068427360665,11.714477127643724,0.7387225834586617,6.319382095336913,18.005329208374032
prospective_open_external,known_material_known_target_liquid,physics_residual_random_forest,2,59,7.645913980112223,10.432129914620077,0.7927941420077679,4.962895198804652,16.07570909890681
prospective_open_external,known_material_known_target_liquid,direct_xgboost,2,59,8.663734410172802,12.45850575363648,0.7044792570771579,4.683064270019514,20.162033386230476
prospective_open_external,known_material_known_target_liquid,ls_psrmoe_fusion,2,59,8.481652021224324,10.756926147689475,0.7796909034022301,7.219962933634889,18.494537244043265
prospective_open_external,new_material_family,nnls_physics,4,135,20.102314885185187,28.296522235447227,0.611538641771814,14.733699999999999,45.09511800000001
prospective_open_external,new_material_family,physics_residual_xgboost,4,135,15.192812068965702,21.646497821394263,0.7726698784733341,9.173762512207034,33.04960006713869
prospective_open_external,new_material_family,physics_residual_random_forest,4,135,14.052403906901334,21.49993794699697,0.7757377820772006,8.09796903705066,39.602582607026214
prospective_open_external,new_material_family,direct_xgboost,4,135,15.14621740270544,21.485082170315493,0.7760475911961233,10.586878967285159,35.10825653076173
prospective_open_external,new_material_family,ls_psrmoe_fusion,4,135,14.613537328022113,21.595050511049543,0.7737491870074727,8.835327176152433,37.60244034139328
