n_training_sources,subset_index,model,test_sources,n,mae_deg,rmse_deg,r2,medae_deg,p90ae_deg
2,9,nnls_physics,6,166,20.701093053243245,28.847271679695442,0.3826341411437172,14.645248413085938,44.22900581359863
2,9,physics_residual_xgboost,6,166,16.541470567200214,25.622549696976215,0.5129452224865938,10.455546259880066,40.947471936543785
2,10,nnls_physics,6,118,25.321402218382236,33.749054771517486,0.3498131564657746,17.904544830322266,53.88028984069824
2,10,physics_residual_xgboost,6,118,21.234666371291844,30.54048695583261,0.4675646712263706,14.977214058240257,38.65160509745281
2,11,nnls_physics,6,163,20.484972789975032,28.014820382911218,0.34820558239352706,14.84689712524414,44.01196975708009
2,11,physics_residual_xgboost,6,163,15.24854931911903,25.563896674616416,0.457263463368925,8.870100021362305,33.999419021606464
2,12,nnls_physics,6,148,20.66576620050379,26.616252209043793,0.04138045654123057,16.294849395751953,44.78562583923342
2,12,physics_residual_xgboost,6,148,20.87318256971435,27.043077718177468,0.01038856492380591,16.504353990157448,40.01975224812826
2,13,nnls_physics,6,184,16.66959584277609,25.54046493864557,0.48400526079617845,10.633930206298828,39.49335041046143
2,13,physics_residual_xgboost,6,184,16.64512228987355,23.673145495560597,0.5566980817119357,11.304180145263672,36.30738770564398
2,14,nnls_physics,6,181,16.40814780662073,24.631419620569492,0.4559599357186175,11.036033630371094,32.34248352050781
2,14,physics_residual_xgboost,6,181,23.423194802213548,31.371689194738316,0.11747339869809237,20.527215321858733,47.207058906555176
2,15,nnls_physics,6,166,16.200949312692664,22.858061628548022,0.3328811909124858,10.969783782958984,39.71323776245117
2,15,physics_residual_xgboost,6,166,19.10866468312989,24.733911393386084,0.21889397407809807,15.71846262613932,39.61192353566487
2,16,nnls_physics,6,196,16.9801489722972,24.794408752698228,0.4342102865208747,12.121349334716797,38.25430870056152
2,16,physics_residual_xgboost,6,196,25.45459964952501,33.087849652932185,-0.007591793445374417,24.43223237991333,47.263742446899414
2,17,nnls_physics,6,148,19.45711630743903,28.087211283838112,0.3881595358190918,13.997241973876953,46.49706497192385
2,17,physics_residual_xgboost,6,148,16.557826596538764,27.205774956286156,0.4259586780553728,10.529419263203941,39.80954780578614
2,18,nnls_physics,6,133,19.54237628879404,26.53916087991015,0.2439128824831548,14.84689712524414,47.44818725585937
2,18,physics_residual_xgboost,6,133,14.842896491354495,21.952409174213233,0.48267693481978846,10.49155330657959,32.975555038452136
2,19,nnls_physics,6,178,16.574500839361985,22.133528497124413,0.24407609160421095,12.77059555053711,39.660787200927736
2,19,physics_residual_xgboost,6,178,22.052542133270745,26.17999127096565,-0.05758618257707249,22.09981106221676,37.38660491307577
3,0,nnls_physics,5,177,16.417115874209646,24.7082506304499,0.4304473308347103,10.903533935546875,39.40458946228028
3,0,physics_residual_xgboost,5,177,16.555821355297226,24.36996102968922,0.44593646966060707,11.70001538594564,29.997576649983728
3,1,nnls_physics,5,159,15.899254469001818,21.684641198064234,0.14666783320270327,11.036033630371094,40.09513778686528
3,1,physics_residual_xgboost,5,159,19.66764608475397,24.608397365941087,-0.09895598296463093,16.476728796958923,41.065789703528104
3,2,nnls_physics,5,118,20.18233881158344,26.211087727787444,0.0831697936484993,15.459278106689453,43.791481018066406
3,2,physics_residual_xgboost,5,118,14.651258023887198,22.019135496963994,0.35297754493964295,9.068021754423778,31.39332070350647
3,3,nnls_physics,5,106,18.318228604658593,29.54211519657061,0.46509767981399364,10.108379364013672,45.11155891418457
3,3,physics_residual_xgboost,5,106,19.103554522770942,30.33571126653895,0.43597328949013203,12.239565531412758,42.828748067220054
3,4,nnls_physics,5,136,14.796618882347556,21.5152327322152,0.40242911517589697,9.201351165771484,31.07338857650757
3,4,physics_residual_xgboost,5,136,12.943970384733642,18.962790893606346,0.5358035177931988,9.103480974833175,22.07819493611654
3,5,nnls_physics,5,121,19.00798907161744,29.202857046505287,0.4474104777070981,11.910049438476562,44.29672622680664
3,5,physics_residual_xgboost,5,121,18.06056196643065,28.57464855219935,0.47092924492846644,11.561950365702316,44.52133305867514
3,6,nnls_physics,5,166,15.970432413629739,24.13754510801642,0.455075981726355,10.633930206298828,32.085920333862305
3,6,physics_residual_xgboost,5,166,19.003238609457114,29.100587876802212,0.20794875920973888,11.797549406687416,45.606995900472
3,7,nnls_physics,5,151,15.699169626299119,22.08272618283143,0.35937222446953376,10.364326477050781,39.28624153137207
3,7,physics_residual_xgboost,5,151,14.047356154424268,19.635812787192545,0.493478184212938,10.809977054595947,23.95120143890381
3,8,nnls_physics,5,103,18.66134590778536,26.050195882460255,0.29119071978818,13.688346862792969,45.60045852661133
3,8,physics_residual_xgboost,5,103,12.663264823770058,21.242484206767195,0.5286776694342843,7.796710968017578,30.440416145324697
3,9,nnls_physics,5,180,16.097956551445854,24.68050092852731,0.4668984187621201,9.796028137207031,39.31582851409912
3,9,physics_residual_xgboost,5,180,13.913295496606992,21.59971529391755,0.5916824151188742,8.889840026696522,28.29630831082662
3,10,nnls_physics,5,132,18.554365107507415,28.325131417678104,0.4334914068201374,11.737518310546875,45.763425064086924
3,10,physics_residual_xgboost,5,132,18.218353168060535,27.450185632726644,0.467949070346923,12.20160230000814,41.080279668172196
3,11,nnls_physics,5,144,18.81999831729465,27.179034915499493,0.3611848279783856,13.755119323730469,45.39685974121097
3,11,physics_residual_xgboost,5,144,14.540546505625741,24.781838206964768,0.4689025776252873,8.134268124898277,31.8631951014201
3,12,nnls_physics,5,174,15.980963756298197,21.01146749451359,0.10012470922388483,12.514665603637695,38.78542976379399
3,12,physics_residual_xgboost,5,174,22.562665797584476,26.7932931526337,-0.46326083021053654,21.49525276819865,40.24625155131024
3,13,nnls_physics,5,106,25.10325621658901,34.04877306060105,0.3946492032207962,17.0954532623291,55.47527503967285
3,13,physics_residual_xgboost,5,106,20.67901769428039,30.978775635328613,0.49889044563567086,14.48832082748413,38.237006982167564
3,14,nnls_physics,5,88,25.944285338575188,31.908122188720892,0.006729311945950278,21.354995727539062,50.70906257629393
3,14,physics_residual_xgboost,5,88,20.61044745677094,27.56873990068675,0.2585208241951059,15.937718441088997,47.2699032862981
3,15,nnls_physics,5,133,19.80618205106348,24.999361934457486,0.04277763693528447,16.529796600341797,43.32008056640625
