table_section,claim_role,analysis_split,scenario,model_name,n_samples,metric_name,metric_value,source_file
model_selection_check,internal_generalization_check,internal_test,v3.4_strict_original_protocol,Weighted Geometric,33,MAE,10.7178,main_result_table_v3.4_20260518.csv
model_selection_check,internal_generalization_check,internal_test,v3.4_strict_original_protocol,Weighted Geometric,33,RMSE,15.5176,main_result_table_v3.4_20260518.csv
model_selection_check,internal_generalization_check,internal_test,v3.4_strict_original_protocol,Weighted Geometric,33,R2,0.734685,main_result_table_v3.4_20260518.csv
model_selection_check,internal_generalization_check,internal_test,v3.4_strict_original_protocol,Weighted Geometric,33,MedAE,8.4731,main_result_table_v3.4_20260518.csv
model_selection_check,internal_generalization_check,internal_test,v3.4_strict_original_protocol,Weighted Geometric,33,P90AE,28.938,main_result_table_v3.4_20260518.csv
model_selection_check,internal_generalization_check,internal_test,v3.4_strict_original_protocol,Weighted Geometric,33,Within_5deg,0.484848,main_result_table_v3.4_20260518.csv
model_selection_check,internal_generalization_check,internal_test,v3.4_strict_original_protocol,Weighted Geometric,33,Within_10deg,0.606061,main_result_table_v3.4_20260518.csv
model_selection_check,internal_generalization_check,internal_test,v3.4_strict_original_protocol,Weighted Geometric,33,Within_15deg,0.727273,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,balanced_holdout,v3.4_strict_original_protocol,PCRNN,50,MAE,10.5176,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,balanced_holdout,v3.4_strict_original_protocol,PCRNN,50,RMSE,16.0819,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,balanced_holdout,v3.4_strict_original_protocol,PCRNN,50,R2,0.778345,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,balanced_holdout,v3.4_strict_original_protocol,PCRNN,50,MedAE,7.9533,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,balanced_holdout,v3.4_strict_original_protocol,PCRNN,50,P90AE,20.5175,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,balanced_holdout,v3.4_strict_original_protocol,PCRNN,50,Within_5deg,0.4,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,balanced_holdout,v3.4_strict_original_protocol,PCRNN,50,Within_10deg,0.56,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,balanced_holdout,v3.4_strict_original_protocol,PCRNN,50,Within_15deg,0.72,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,balanced_holdout,v3.4_strict_original_protocol,Owens-Wendt,50,MAE,13.7791,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,balanced_holdout,v3.4_strict_original_protocol,Owens-Wendt,50,RMSE,22.3225,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,balanced_holdout,v3.4_strict_original_protocol,Owens-Wendt,50,R2,0.57294,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,balanced_holdout,v3.4_strict_original_protocol,Owens-Wendt,50,MedAE,8.3286,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,balanced_holdout,v3.4_strict_original_protocol,Owens-Wendt,50,P90AE,31.82,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,balanced_holdout,v3.4_strict_original_protocol,Owens-Wendt,50,Within_5deg,0.38,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,balanced_holdout,v3.4_strict_original_protocol,Owens-Wendt,50,Within_10deg,0.56,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,balanced_holdout,v3.4_strict_original_protocol,Owens-Wendt,50,Within_15deg,0.64,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,balanced_holdout,v3.4_strict_original_protocol,XGBoost,50,MAE,9.6448,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,balanced_holdout,v3.4_strict_original_protocol,XGBoost,50,RMSE,14.2934,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,balanced_holdout,v3.4_strict_original_protocol,XGBoost,50,R2,0.824906,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,balanced_holdout,v3.4_strict_original_protocol,XGBoost,50,MedAE,6.2592,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,balanced_holdout,v3.4_strict_original_protocol,XGBoost,50,P90AE,20.6805,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,balanced_holdout,v3.4_strict_original_protocol,XGBoost,50,Within_5deg,0.44,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,balanced_holdout,v3.4_strict_original_protocol,XGBoost,50,Within_10deg,0.68,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,balanced_holdout,v3.4_strict_original_protocol,XGBoost,50,Within_15deg,0.8,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,balanced_holdout,v3.4_strict_original_protocol,Random Forest,50,MAE,14.1556,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,balanced_holdout,v3.4_strict_original_protocol,Random Forest,50,RMSE,17.0889,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,balanced_holdout,v3.4_strict_original_protocol,Random Forest,50,R2,0.749718,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,balanced_holdout,v3.4_strict_original_protocol,Random Forest,50,MedAE,12.2664,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,balanced_holdout,v3.4_strict_original_protocol,Random Forest,50,P90AE,26.026,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,balanced_holdout,v3.4_strict_original_protocol,Random Forest,50,Within_5deg,0.2,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,balanced_holdout,v3.4_strict_original_protocol,Random Forest,50,Within_10deg,0.32,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,balanced_holdout,v3.4_strict_original_protocol,Random Forest,50,Within_15deg,0.62,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,balanced_holdout,v3.4_strict_original_protocol,Ordinary MLP,50,MAE,10.2699,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,balanced_holdout,v3.4_strict_original_protocol,Ordinary MLP,50,RMSE,14.5806,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,balanced_holdout,v3.4_strict_original_protocol,Ordinary MLP,50,R2,0.817798,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,balanced_holdout,v3.4_strict_original_protocol,Ordinary MLP,50,MedAE,7.1879,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,balanced_holdout,v3.4_strict_original_protocol,Ordinary MLP,50,P90AE,21.5387,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,balanced_holdout,v3.4_strict_original_protocol,Ordinary MLP,50,Within_5deg,0.42,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,balanced_holdout,v3.4_strict_original_protocol,Ordinary MLP,50,Within_10deg,0.6,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,balanced_holdout,v3.4_strict_original_protocol,Ordinary MLP,50,Within_15deg,0.74,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,balanced_holdout,v3.4_strict_original_protocol,vOCG,50,MAE,16.0741,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,balanced_holdout,v3.4_strict_original_protocol,vOCG,50,RMSE,24.8382,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,balanced_holdout,v3.4_strict_original_protocol,vOCG,50,R2,0.471261,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,balanced_holdout,v3.4_strict_original_protocol,vOCG,50,MedAE,8.9685,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,balanced_holdout,v3.4_strict_original_protocol,vOCG,50,P90AE,38.379,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,balanced_holdout,v3.4_strict_original_protocol,vOCG,50,Within_5deg,0.36,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,balanced_holdout,v3.4_strict_original_protocol,vOCG,50,Within_10deg,0.54,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,balanced_holdout,v3.4_strict_original_protocol,vOCG,50,Within_15deg,0.6,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,balanced_holdout,v3.4_strict_original_protocol,Harmonic Mean,50,MAE,15.8514,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,balanced_holdout,v3.4_strict_original_protocol,Harmonic Mean,50,RMSE,23.2601,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,balanced_holdout,v3.4_strict_original_protocol,Harmonic Mean,50,R2,0.536315,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,balanced_holdout,v3.4_strict_original_protocol,Harmonic Mean,50,MedAE,12.3885,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,balanced_holdout,v3.4_strict_original_protocol,Harmonic Mean,50,P90AE,34.5225,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,balanced_holdout,v3.4_strict_original_protocol,Harmonic Mean,50,Within_5deg,0.28,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,balanced_holdout,v3.4_strict_original_protocol,Harmonic Mean,50,Within_10deg,0.42,main_result_table_v3.4_20260518.csv
