record_id,analysis_split,y_true,y_pred_original_all_liquid,y_pred_loo_sfe,delta_y_pred_loo_minus_original,prediction_changed,owens_wendt_original_all_liquid,owens_wendt_loo_sfe,delta_owens_wendt,residual_original_all_liquid,residual_loo_sfe,delta_residual,gate_original_all_liquid,gate_loo_sfe,delta_gate,abs_error_original_all_liquid,abs_error_loo_sfe,pcrnn_forward_recomputed,source_group_id,duplicate_policy
CA0481,source_disjoint_external,161.0,144.246109,150.3645477294922,6.118438729492198,yes,139.560577,150.36455799236143,10.803980992361431,4.685532,-1.0262869238886196e-05,-4.685542262869239,0.146498,0.0,-0.146498,16.753891,10.635452270507812,yes,SDX004,unique_or_condition_distinct_keep
CA0482,source_disjoint_external,141.0,132.607147,133.58236694335938,0.9752199433593773,yes,132.607155,133.5823833936773,0.9752283936772983,-7e-06,-1.6450317929184166e-05,-9.450317929184165e-06,0.0,0.0,0.0,8.392853,7.417633056640625,yes,SDX004,unique_or_condition_distinct_keep
CA0483,source_disjoint_external,136.0,130.248306,122.15763854980469,-8.090667450195326,yes,130.248304,122.15764891525484,-8.090655084745151,2e-06,-1.0365450151539335e-05,-1.2365450151539334e-05,0.0,0.0,0.0,5.751694,13.842361450195312,yes,SDX004,unique_or_condition_distinct_keep
CA0484,source_disjoint_external,158.0,133.203384,138.58590698242188,5.382522982421875,yes,125.771104,136.22102149945982,10.44991749945983,7.432281,2.364885482962052,-5.067395517037948,0.267064,0.08854282647371292,-0.1785211735262871,24.796616,19.414093017578125,yes,SDX004,unique_or_condition_distinct_keep
CA0485,source_disjoint_external,127.0,116.401428,118.59752655029297,2.196098550292973,yes,116.401442,118.5975291735164,2.1960871735164034,-1.4e-05,-2.623223437581146e-06,1.1376776562418854e-05,0.0,0.0,0.0,10.598572,8.402473449707031,yes,SDX004,unique_or_condition_distinct_keep
CA0486,source_disjoint_external,123.0,113.417885,96.1058578491211,-17.312027150878905,yes,113.417897,96.10586319151196,-17.31203380848804,-1.2e-05,-5.34239086391608e-06,6.65760913608392e-06,0.0,0.0,0.0,9.582115,26.894142150878906,yes,SDX004,unique_or_condition_distinct_keep
CA0487,source_disjoint_external,146.0,134.943268,108.21011352539062,-26.733154474609364,yes,129.167733,108.21012294356478,-20.957610056435215,5.775535,-9.418174158781767e-06,-5.775544418174158,0.208358,0.0,-0.208358,11.056732,37.789886474609375,yes,SDX004,unique_or_condition_distinct_keep
CA0488,source_disjoint_external,139.0,119.172737,116.7961196899414,-2.3766173100585917,yes,119.172738,116.79612871103267,-2.3766092889673303,-1e-06,-9.021091258887282e-06,-8.021091258887281e-06,0.0,0.0,0.0,19.827263,22.203880310058594,yes,SDX004,unique_or_condition_distinct_keep
CA0489,source_disjoint_external,116.0,115.169594,136.0058135986328,20.83621959863281,yes,115.169603,136.0058316394884,20.83622863948841,-9e-06,-1.8040855593426386e-05,-9.040855593426386e-06,0.0,0.0,0.0,0.830406,20.005813598632812,yes,SDX004,unique_or_condition_distinct_keep
CA0490,source_disjoint_external,135.0,131.16423,81.43458557128906,-49.72964442871094,yes,128.399218,81.43459197187833,-46.96462602812166,2.765013,-6.4005892710383705e-06,-2.765019400589271,0.118021,0.0,-0.118021,3.83577,53.56541442871094,yes,SDX004,unique_or_condition_distinct_keep
CA0491,source_disjoint_external,142.0,116.231972,110.81179809570312,-5.420173904296874,yes,116.231985,110.8118007753506,-5.42018422464939,-1.3e-05,-2.6796474799084535e-06,1.0320352520091546e-05,0.0,0.0,0.0,25.768028,31.188201904296875,yes,SDX004,unique_or_condition_distinct_keep
CA0492,source_disjoint_external,105.0,110.300537,151.5598907470703,41.25935374707031,yes,110.30054,151.55990663331795,41.25936663331795,-3e-06,-1.588624763826374e-05,-1.288624763826374e-05,0.0,0.0,0.0,5.300537,46.55989074707031,yes,SDX004,unique_or_condition_distinct_keep
CA0493,source_disjoint_external,156.0,150.463074,153.81625366210938,3.353179662109369,yes,150.463081,153.81625395300156,3.3531729530015753,-7e-06,-2.9089218855915533e-07,6.7091078114408446e-06,0.0,0.0,0.0,5.536926,2.183746337890625,yes,SDX004,unique_or_condition_distinct_keep
CA0494,source_disjoint_external,145.0,143.103622,143.59083557128906,0.48721357128906106,yes,143.103635,143.5908445042539,0.4872095042539115,-1.2e-05,-8.932964846053437e-06,3.067035153946563e-06,0.0,0.0,0.0,1.896378,1.4091644287109375,yes,SDX004,unique_or_condition_distinct_keep
CA0495,source_disjoint_external,141.0,139.303116,136.00637817382812,-3.2967378261718636,yes,139.303127,136.00638192422747,-3.2967450757725203,-1.1e-05,-3.7503993439713668e-06,7.249600656028633e-06,0.0,0.0,0.0,1.696884,4.993621826171875,yes,SDX004,unique_or_condition_distinct_keep
CA0496,source_disjoint_external,153.0,148.27327,132.95274353027344,-15.320526469726559,yes,148.273285,132.95274361410222,-15.32054138589777,-1.5e-05,-8.38287803617277e-08,1.4916171219638273e-05,0.0,0.0,0.0,4.72673,20.047256469726562,yes,SDX004,unique_or_condition_distinct_keep
CA0497,source_disjoint_external,150.0,140.755142,138.75205993652344,-2.003082063476569,yes,140.755142,138.75206918087355,-2.0030728191264586,0.0,-9.244350110293453e-06,-9.244350110293453e-06,0.0,0.0,0.0,9.244858,11.247940063476562,yes,SDX004,unique_or_condition_distinct_keep
CA0498,source_disjoint_external,136.0,137.00769,149.8473358154297,12.83964581542969,yes,137.007691,149.84734454846617,12.839653548466174,-1e-06,-8.733036480634837e-06,-7.733036480634836e-06,0.0,0.0,0.0,1.00769,13.847335815429688,yes,SDX004,unique_or_condition_distinct_keep
CA0499,source_disjoint_external,147.0,148.164902,143.7655792236328,-4.3993227763672,yes,148.164921,140.64230585733617,-7.522615142663824,-2e-05,3.123273366296644,3.123293366296644,0.0,0.10191904008388519,0.10191904008388519,1.164902,3.2344207763671875,yes,SDX004,unique_or_condition_distinct_keep
CA0500,source_disjoint_external,143.0,139.939011,138.59521484375,-1.3437961562499936,yes,139.93902,138.59522176735922,-1.3437982326407791,-9e-06,-6.923609220166327e-06,2.0763907798336734e-06,0.0,0.0,0.0,3.060989,4.40478515625,yes,SDX004,unique_or_condition_distinct_keep
CA0501,source_disjoint_external,134.0,135.595551,142.65565490722656,7.060103907226562,yes,135.595564,142.6556617519751,7.060097751975093,-1.4e-05,-6.844748526191324e-06,7.1552514738086754e-06,0.0,0.0,0.0,1.595551,8.655654907226562,yes,SDX004,unique_or_condition_distinct_keep
CA0502,source_disjoint_external,145.0,124.18914,89.99311065673828,-34.19602934326171,yes,117.12097,89.99311780640318,-27.127852193596823,7.06817,-7.149664895678143e-06,-7.068177149664896,0.273138,0.0,-0.273138,20.81086,55.00688934326172,yes,SDX004,unique_or_condition_distinct_keep
CA0503,source_disjoint_external,136.0,105.971443,102.93016052246094,-3.041282477539056,yes,105.971447,102.93016301414751,-3.0412839858524876,-4e-06,-2.49168657262544e-06,1.5083134273745598e-06,0.0,0.0,0.0,30.028557,33.06983947753906,yes,SDX004,unique_or_condition_distinct_keep
CA0504,source_disjoint_external,105.0,102.464622,131.23350524902344,28.768883249023432,yes,102.464625,131.23351107257267,28.76888607257267,-2e-06,-5.823549230399294e-06,-3.823549230399295e-06,0.0,0.0,0.0,2.535378,26.233505249023438,yes,SDX004,unique_or_condition_distinct_keep
CA0505,source_disjoint_external,155.0,140.365387,134.284912109375,-6.080474890624998,yes,139.738813,134.28491461907458,-5.453898380925409,0.626574,-2.5096995841522585e-06,-0.6265765096995841,0.024121,0.0,-0.024121,14.634613,20.715087890625,yes,SDX004,unique_or_condition_distinct_keep
CA0506,source_disjoint_external,131.0,130.763885,133.20838928222656,2.444504282226575,yes,130.763885,133.20840268594552,2.4445176859455273,0.0,-1.3403718952531563e-05,-1.3403718952531563e-05,0.0,0.0,0.0,0.236115,2.2083892822265625,yes,SDX004,unique_or_condition_distinct_keep
CA0507,source_disjoint_external,133.0,126.538429,107.48910522460938,-19.04932377539062,yes,126.538429,107.48911342401034,-19.049315575989652,0.0,-8.199400966191206e-06,-8.199400966191206e-06,0.0,0.0,0.0,6.461571,25.510894775390625,yes,SDX004,unique_or_condition_distinct_keep
CA0508,source_disjoint_external,149.0,146.433868,145.17471313476562,-1.2591548652343647,yes,146.43388,140.55389124929803,-5.879988750701955,-1.1e-05,4.620821885467592,4.620832885467592,0.0,0.14199474453926086,0.14199474453926086,2.566132,3.825286865234375,yes,SDX004,unique_or_condition_distinct_keep
CA0509,source_disjoint_external,134.0,136.058762,136.22874450683594,0.16998250683593596,yes,136.058758,136.22875782458846,0.16999982458844443,3e-06,-1.3317752518560155e-05,-1.6317752518560154e-05,0.0,0.0,0.0,2.058762,2.2287445068359375,yes,SDX004,unique_or_condition_distinct_keep
CA0510,source_disjoint_external,132.0,130.058167,121.3107681274414,-8.747398872558591,yes,130.058159,121.31077147329248,-8.747387526707513,7e-06,-3.345851069980199e-06,-1.03458510699802e-05,0.0,0.0,0.0,1.941833,10.689231872558594,yes,SDX004,unique_or_condition_distinct_keep
