target_measurement_id,record_id,source_group_id,surface_group_id,target_liquid_id,target_contact_angle_deg,v4_split,has_independent_sfe,independent_sfe_dispersion_mj_m2,independent_sfe_polar_mj_m2,sample_id,prediction_mode,probe_measurement_ids,probe_liquid_ids,n_probes,target_liquid_removed,loo_sfe_feasible,loo_sfe_failure_reason,fit_status,boundary_fit,nnls_residual_norm,n_unique_liquids,nnls_dispersion_mj_m2,nnls_polar_mj_m2,nnls_physical_prediction_deg,target_eligible,v4_1_exclusion_reason,v4_1_primary_eligible
CA0089,CA0089,SRC010,SFC_EE615B6001A2,LIQ_0F4168490E,52.45,train,no,,,PA_CA0089,probe_assisted,CA0090,LIQ_6656B41AB7,1,yes,no,insufficient_probes,insufficient_probes,no,,1.0,,,,yes,fewer_than_two_unique_probes,no
CA0090,CA0090,SRC010,SFC_EE615B6001A2,LIQ_6656B41AB7,66.51,train,no,,,PA_CA0090,probe_assisted,CA0089,LIQ_0F4168490E,1,yes,no,insufficient_probes,insufficient_probes,no,,1.0,,,,yes,fewer_than_two_unique_probes,no
CA0091,CA0091,SRC010,SFC_C256F7B116EE,LIQ_0F4168490E,40.92,train,no,,,PA_CA0091,probe_assisted,CA0092,LIQ_6656B41AB7,1,yes,no,insufficient_probes,insufficient_probes,no,,1.0,,,,yes,fewer_than_two_unique_probes,no
CA0092,CA0092,SRC010,SFC_C256F7B116EE,LIQ_6656B41AB7,40.8,train,no,,,PA_CA0092,probe_assisted,CA0091,LIQ_0F4168490E,1,yes,no,insufficient_probes,insufficient_probes,no,,1.0,,,,yes,fewer_than_two_unique_probes,no
CA0093,CA0093,SRC009,SFC_A5B2B66974AE,LIQ_0F4168490E,83.5,train,no,,,PA_CA0093,probe_assisted,CA0094,LIQ_6656B41AB7,1,yes,no,insufficient_probes,insufficient_probes,no,,1.0,,,,yes,fewer_than_two_unique_probes,no
CA0094,CA0094,SRC009,SFC_A5B2B66974AE,LIQ_6656B41AB7,77.7,train,no,,,PA_CA0094,probe_assisted,CA0093,LIQ_0F4168490E,1,yes,no,insufficient_probes,insufficient_probes,no,,1.0,,,,yes,fewer_than_two_unique_probes,no
CA0095,CA0095,SRC009,SFC_BF7DB4F8493A,LIQ_0F4168490E,11.4,train,no,,,PA_CA0095,probe_assisted,CA0096,LIQ_6656B41AB7,1,yes,no,insufficient_probes,insufficient_probes,no,,1.0,,,,yes,fewer_than_two_unique_probes,no
CA0096,CA0096,SRC009,SFC_BF7DB4F8493A,LIQ_6656B41AB7,30.2,train,no,,,PA_CA0096,probe_assisted,CA0095,LIQ_0F4168490E,1,yes,no,insufficient_probes,insufficient_probes,no,,1.0,,,,yes,fewer_than_two_unique_probes,no
CA0097,CA0097,SRC009,SFC_1CE43E1DBA17,LIQ_0F4168490E,101.3,train,no,,,PA_CA0097,probe_assisted,CA0098,LIQ_6656B41AB7,1,yes,no,insufficient_probes,insufficient_probes,no,,1.0,,,,yes,fewer_than_two_unique_probes,no
CA0098,CA0098,SRC009,SFC_1CE43E1DBA17,LIQ_6656B41AB7,83.8,train,no,,,PA_CA0098,probe_assisted,CA0097,LIQ_0F4168490E,1,yes,no,insufficient_probes,insufficient_probes,no,,1.0,,,,yes,fewer_than_two_unique_probes,no
CA0099,CA0099,SRC009,SFC_CD91556CDD43,LIQ_0F4168490E,65.4,train,no,,,PA_CA0099,probe_assisted,CA0100,LIQ_6656B41AB7,1,yes,no,insufficient_probes,insufficient_probes,no,,1.0,,,,yes,fewer_than_two_unique_probes,no
CA0100,CA0100,SRC009,SFC_CD91556CDD43,LIQ_6656B41AB7,61.3,train,no,,,PA_CA0100,probe_assisted,CA0099,LIQ_0F4168490E,1,yes,no,insufficient_probes,insufficient_probes,no,,1.0,,,,yes,fewer_than_two_unique_probes,no
CA0101,CA0101,SRC007,SFC_5EB9C176CFB3,LIQ_0F4168490E,98.7,validation,no,,,PA_CA0101,probe_assisted,CA0102,LIQ_6656B41AB7,1,yes,no,insufficient_probes,insufficient_probes,no,,1.0,,,,yes,fewer_than_two_unique_probes,no
CA0102,CA0102,SRC007,SFC_5EB9C176CFB3,LIQ_6656B41AB7,45.7,validation,no,,,PA_CA0102,probe_assisted,CA0101,LIQ_0F4168490E,1,yes,no,insufficient_probes,insufficient_probes,no,,1.0,,,,yes,fewer_than_two_unique_probes,no
CA0103,CA0103,SRC007,SFC_4A9A552599CA,LIQ_0F4168490E,85.6,validation,no,,,PA_CA0103,probe_assisted,CA0104,LIQ_6656B41AB7,1,yes,no,insufficient_probes,insufficient_probes,no,,1.0,,,,yes,fewer_than_two_unique_probes,no
CA0104,CA0104,SRC007,SFC_4A9A552599CA,LIQ_6656B41AB7,27.8,validation,no,,,PA_CA0104,probe_assisted,CA0103,LIQ_0F4168490E,1,yes,no,insufficient_probes,insufficient_probes,no,,1.0,,,,yes,fewer_than_two_unique_probes,no
CA0105,CA0105,SRC007,SFC_FE6387F77D1C,LIQ_0F4168490E,69.3,validation,no,,,PA_CA0105,probe_assisted,CA0106,LIQ_6656B41AB7,1,yes,no,insufficient_probes,insufficient_probes,no,,1.0,,,,yes,fewer_than_two_unique_probes,no
CA0106,CA0106,SRC007,SFC_FE6387F77D1C,LIQ_6656B41AB7,31.6,validation,no,,,PA_CA0106,probe_assisted,CA0105,LIQ_0F4168490E,1,yes,no,insufficient_probes,insufficient_probes,no,,1.0,,,,yes,fewer_than_two_unique_probes,no
CA0235,CA0235,SRC013,SFC_2A727AF34E6D,LIQ_6656B41AB7,19.7,internal_test,yes,47.9,18.0,PA_CA0235,probe_assisted,CA0236;CA0237,LIQ_0F4168490E;LIQ_53310FAFB3,2,yes,yes,,interior_fit,no,0.0,2.0,1.8024862410892688,81.32335839491599,128.5550737040417,yes,,yes
CA0236,CA0236,SRC013,SFC_2A727AF34E6D,LIQ_53310FAFB3,20.1,internal_test,yes,47.9,18.0,PA_CA0236,probe_assisted,CA0235;CA0237,LIQ_0F4168490E;LIQ_6656B41AB7,2,yes,yes,,interior_fit,no,0.0,2.0,47.87021002993398,28.86053734832325,0.0,yes,,yes
CA0237,CA0237,SRC013,SFC_2A727AF34E6D,LIQ_0F4168490E,19.7,internal_test,yes,47.9,18.0,PA_CA0237,probe_assisted,CA0235;CA0236,LIQ_53310FAFB3;LIQ_6656B41AB7,2,yes,yes,,interior_fit,no,0.0,2.0,47.87021002993394,4.531787084181688,72.2335521408746,yes,,yes
CA0238,CA0238,SRC013,SFC_E38FF72DBA39,LIQ_6656B41AB7,31.5,internal_test,yes,43.6,14.1,PA_CA0238,probe_assisted,CA0239;CA0240,LIQ_0F4168490E;LIQ_53310FAFB3,2,yes,yes,,interior_fit,no,0.0,2.0,2.7432540801942444,63.78339446316571,122.3600139007334,yes,,yes
CA0239,CA0239,SRC013,SFC_E38FF72DBA39,LIQ_53310FAFB3,34.7,internal_test,yes,43.6,14.1,PA_CA0239,probe_assisted,CA0238;CA0240,LIQ_0F4168490E;LIQ_6656B41AB7,2,yes,yes,,interior_fit,no,0.0,2.0,43.58989984794008,22.58889005199619,0.0,yes,,yes
CA0240,CA0240,SRC013,SFC_E38FF72DBA39,LIQ_0F4168490E,38.8,internal_test,yes,43.6,14.1,PA_CA0240,probe_assisted,CA0238;CA0239,LIQ_53310FAFB3;LIQ_6656B41AB7,2,yes,yes,,interior_fit,no,0.0,2.0,43.58989984794005,3.5192716583969177,77.58865412682096,yes,,yes
CA0241,CA0241,SRC013,SFC_39DBA098ECDC,LIQ_6656B41AB7,23.8,internal_test,yes,46.6,8.1,PA_CA0241,probe_assisted,CA0242;CA0243,LIQ_0F4168490E;LIQ_53310FAFB3,2,yes,yes,,interior_fit,no,0.0,2.0,6.993805461896918,50.3492980038068,104.94625380156116,yes,,yes
CA0242,CA0242,SRC013,SFC_39DBA098ECDC,LIQ_53310FAFB3,28.1,internal_test,yes,46.6,8.1,PA_CA0242,probe_assisted,CA0241;CA0243,LIQ_0F4168490E;LIQ_6656B41AB7,2,yes,yes,,interior_fit,no,0.0,2.0,46.571795724542206,19.03576519630544,0.0,yes,,yes
CA0243,CA0243,SRC013,SFC_39DBA098ECDC,LIQ_0F4168490E,43.0,internal_test,yes,46.6,8.1,PA_CA0243,probe_assisted,CA0241;CA0242,LIQ_53310FAFB3;LIQ_6656B41AB7,2,yes,yes,,interior_fit,no,0.0,2.0,46.57179572454219,3.732079453755423,75.2631058999932,yes,,yes
CA0244,CA0244,SRC013,SFC_417F923EF7B4,LIQ_6656B41AB7,23.4,internal_test,yes,46.7,8.6,PA_CA0244,probe_assisted,CA0245;CA0246,LIQ_0F4168490E;LIQ_53310FAFB3,2,yes,yes,,interior_fit,no,0.0,2.0,5.887901126714199,57.23110454689349,108.60897371581083,yes,,yes
CA0245,CA0245,SRC013,SFC_417F923EF7B4,LIQ_53310FAFB3,23.3,internal_test,yes,46.7,8.6,PA_CA0245,probe_assisted,CA0244;CA0246,LIQ_0F4168490E;LIQ_6656B41AB7,2,yes,yes,,interior_fit,no,0.0,2.0,46.70784161502032,21.9333667163136,0.0,yes,,yes
CA0246,CA0246,SRC013,SFC_417F923EF7B4,LIQ_0F4168490E,37.3,internal_test,yes,46.7,8.6,PA_CA0246,probe_assisted,CA0244;CA0245,LIQ_53310FAFB3;LIQ_6656B41AB7,2,yes,yes,,interior_fit,no,0.0,2.0,46.707841615020286,4.492398957579917,72.99364851434581,yes,,yes
CA0247,CA0247,SRC013,SFC_8E79B764A41F,LIQ_6656B41AB7,23.8,internal_test,yes,46.6,14.8,PA_CA0247,probe_assisted,CA0248;CA0249,LIQ_0F4168490E;LIQ_53310FAFB3,2,yes,yes,,interior_fit,no,0.0,2.0,3.7250727757767095,59.81445668127941,117.28496654747696,yes,,yes
CA0248,CA0248,SRC013,SFC_8E79B764A41F,LIQ_53310FAFB3,33.1,internal_test,yes,46.6,14.8,PA_CA0248,probe_assisted,CA0247;CA0249,LIQ_0F4168490E;LIQ_6656B41AB7,2,yes,yes,,interior_fit,no,0.0,2.0,46.57179572454222,20.55801549389753,0.0,yes,,yes
CA0249,CA0249,SRC013,SFC_8E79B764A41F,LIQ_0F4168490E,40.1,internal_test,yes,46.6,14.8,PA_CA0249,probe_assisted,CA0247;CA0248,LIQ_53310FAFB3;LIQ_6656B41AB7,2,yes,yes,,interior_fit,no,0.0,2.0,46.571795724542206,2.847145940232778,78.08797700320571,yes,,yes
CA0250,CA0250,SRC013,SFC_67E6ABEA7841,LIQ_6656B41AB7,33.1,internal_test,yes,42.9,10.1,PA_CA0250,probe_assisted,CA0251;CA0252,LIQ_0F4168490E;LIQ_53310FAFB3,2,yes,yes,,interior_fit,no,0.0,2.0,4.734095695833737,52.05876443275948,112.9206816418528,yes,,yes
CA0251,CA0251,SRC013,SFC_67E6ABEA7841,LIQ_53310FAFB3,37.0,internal_test,yes,42.9,10.1,PA_CA0251,probe_assisted,CA0250;CA0252,LIQ_0F4168490E;LIQ_6656B41AB7,2,yes,yes,,interior_fit,no,0.0,2.0,42.89056803399684,18.974123064539327,0.0,yes,,yes
CA0252,CA0252,SRC013,SFC_67E6ABEA7841,LIQ_0F4168490E,46.0,internal_test,yes,42.9,10.1,PA_CA0252,probe_assisted,CA0250;CA0251,LIQ_53310FAFB3;LIQ_6656B41AB7,2,yes,yes,,interior_fit,no,0.0,2.0,42.89056803399681,3.284178130787867,78.72010063362175,yes,,yes
CA0267,CA0267,SRC015,SFC_93C87B65E929,LIQ_0F4168490E,79.97,validation,no,,,PA_CA0267,probe_assisted,CA0268,LIQ_53310FAFB3,1,yes,no,insufficient_probes,insufficient_probes,no,,1.0,,,,yes,fewer_than_two_unique_probes,no
CA0268,CA0268,SRC015,SFC_93C87B65E929,LIQ_53310FAFB3,48.77,validation,no,,,PA_CA0268,probe_assisted,CA0267,LIQ_0F4168490E,1,yes,no,insufficient_probes,insufficient_probes,no,,1.0,,,,yes,fewer_than_two_unique_probes,no
CA0269,CA0269,SRC015,SFC_A716853C1624,LIQ_0F4168490E,44.35,validation,no,,,PA_CA0269,probe_assisted,CA0270,LIQ_53310FAFB3,1,yes,no,insufficient_probes,insufficient_probes,no,,1.0,,,,yes,fewer_than_two_unique_probes,no
CA0270,CA0270,SRC015,SFC_A716853C1624,LIQ_53310FAFB3,25.25,validation,no,,,PA_CA0270,probe_assisted,CA0269,LIQ_0F4168490E,1,yes,no,insufficient_probes,insufficient_probes,no,,1.0,,,,yes,fewer_than_two_unique_probes,no
CA0271,CA0271,SRC015,SFC_86D8700CAF9C,LIQ_0F4168490E,52.13,validation,no,,,PA_CA0271,probe_assisted,CA0272,LIQ_53310FAFB3,1,yes,no,insufficient_probes,insufficient_probes,no,,1.0,,,,yes,fewer_than_two_unique_probes,no
CA0272,CA0272,SRC015,SFC_86D8700CAF9C,LIQ_53310FAFB3,47.7,validation,no,,,PA_CA0272,probe_assisted,CA0271,LIQ_0F4168490E,1,yes,no,insufficient_probes,insufficient_probes,no,,1.0,,,,yes,fewer_than_two_unique_probes,no
CA0273,CA0273,SRC015,SFC_3014F50685DA,LIQ_0F4168490E,72.66,validation,no,,,PA_CA0273,probe_assisted,CA0274,LIQ_53310FAFB3,1,yes,no,insufficient_probes,insufficient_probes,no,,1.0,,,,yes,fewer_than_two_unique_probes,no
CA0274,CA0274,SRC015,SFC_3014F50685DA,LIQ_53310FAFB3,20.26,validation,no,,,PA_CA0274,probe_assisted,CA0273,LIQ_0F4168490E,1,yes,no,insufficient_probes,insufficient_probes,no,,1.0,,,,yes,fewer_than_two_unique_probes,no
CA0275,CA0275,SRC015,SFC_FD37A16743B7,LIQ_0F4168490E,81.25,validation,no,,,PA_CA0275,probe_assisted,CA0276,LIQ_53310FAFB3,1,yes,no,insufficient_probes,insufficient_probes,no,,1.0,,,,yes,fewer_than_two_unique_probes,no
CA0276,CA0276,SRC015,SFC_FD37A16743B7,LIQ_53310FAFB3,39.27,validation,no,,,PA_CA0276,probe_assisted,CA0275,LIQ_0F4168490E,1,yes,no,insufficient_probes,insufficient_probes,no,,1.0,,,,yes,fewer_than_two_unique_probes,no
CA0277,CA0277,SRC005,SFC_1B0EE35A8601,LIQ_0F4168490E,94.0,validation,no,,,PA_CA0277,probe_assisted,CA0278,LIQ_B6950B5CB8,1,yes,no,insufficient_probes,insufficient_probes,no,,1.0,,,,yes,fewer_than_two_unique_probes,no
CA0278,CA0278,SRC005,SFC_1B0EE35A8601,LIQ_B6950B5CB8,16.0,validation,no,,,PA_CA0278,probe_assisted,CA0277,LIQ_0F4168490E,1,yes,no,insufficient_probes,insufficient_probes,no,,1.0,,,,yes,fewer_than_two_unique_probes,no
CA0279,CA0279,SRC005,SFC_231FB62337B5,LIQ_0F4168490E,107.0,validation,no,,,PA_CA0279,probe_assisted,CA0280,LIQ_B6950B5CB8,1,yes,no,insufficient_probes,insufficient_probes,no,,1.0,,,,yes,fewer_than_two_unique_probes,no
CA0280,CA0280,SRC005,SFC_231FB62337B5,LIQ_B6950B5CB8,48.0,validation,no,,,PA_CA0280,probe_assisted,CA0279,LIQ_0F4168490E,1,yes,no,insufficient_probes,insufficient_probes,no,,1.0,,,,yes,fewer_than_two_unique_probes,no
CA0281,CA0281,SRC005,SFC_D6B816FE09EC,LIQ_0F4168490E,134.0,validation,no,,,PA_CA0281,probe_assisted,CA0282,LIQ_B6950B5CB8,1,yes,no,insufficient_probes,insufficient_probes,no,,1.0,,,,yes,fewer_than_two_unique_probes,no
CA0282,CA0282,SRC005,SFC_D6B816FE09EC,LIQ_B6950B5CB8,46.0,validation,no,,,PA_CA0282,probe_assisted,CA0281,LIQ_0F4168490E,1,yes,no,insufficient_probes,insufficient_probes,no,,1.0,,,,yes,fewer_than_two_unique_probes,no
CA0283,CA0283,SRC005,SFC_F8843DC534D0,LIQ_0F4168490E,153.0,validation,no,,,PA_CA0283,probe_assisted,CA0284,LIQ_B6950B5CB8,1,yes,no,insufficient_probes,insufficient_probes,no,,1.0,,,,yes,fewer_than_two_unique_probes,no
CA0284,CA0284,SRC005,SFC_F8843DC534D0,LIQ_B6950B5CB8,130.0,validation,no,,,PA_CA0284,probe_assisted,CA0283,LIQ_0F4168490E,1,yes,no,insufficient_probes,insufficient_probes,no,,1.0,,,,yes,fewer_than_two_unique_probes,no
CA0285,CA0285,SRC006,SFC_4B9DA50F6033,LIQ_0F4168490E,69.0,train,no,,,PA_CA0285,probe_assisted,CA0286,LIQ_6656B41AB7,1,yes,no,insufficient_probes,insufficient_probes,no,,1.0,,,,yes,fewer_than_two_unique_probes,no
CA0286,CA0286,SRC006,SFC_4B9DA50F6033,LIQ_6656B41AB7,42.0,train,no,,,PA_CA0286,probe_assisted,CA0285,LIQ_0F4168490E,1,yes,no,insufficient_probes,insufficient_probes,no,,1.0,,,,yes,fewer_than_two_unique_probes,no
CA0287,CA0287,SRC022,SFC_75203B72A5AD,LIQ_0F4168490E,43.64,internal_test,yes,45.14,10.51,PA_CA0287,probe_assisted,CA0288,LIQ_6656B41AB7,1,yes,no,insufficient_probes,insufficient_probes,no,,1.0,,,,yes,fewer_than_two_unique_probes,no
CA0288,CA0288,SRC022,SFC_75203B72A5AD,LIQ_6656B41AB7,30.05,internal_test,yes,45.14,10.51,PA_CA0288,probe_assisted,CA0287,LIQ_0F4168490E,1,yes,no,insufficient_probes,insufficient_probes,no,,1.0,,,,yes,fewer_than_two_unique_probes,no
CA0289,CA0289,SRC022,SFC_39B450DAB1FB,LIQ_0F4168490E,41.23,internal_test,yes,42.42,13.82,PA_CA0289,probe_assisted,CA0290,LIQ_6656B41AB7,1,yes,no,insufficient_probes,insufficient_probes,no,,1.0,,,,yes,fewer_than_two_unique_probes,no
CA0290,CA0290,SRC022,SFC_39B450DAB1FB,LIQ_6656B41AB7,34.52,internal_test,yes,42.42,13.82,PA_CA0290,probe_assisted,CA0289,LIQ_0F4168490E,1,yes,no,insufficient_probes,insufficient_probes,no,,1.0,,,,yes,fewer_than_two_unique_probes,no
CA0291,CA0291,SRC022,SFC_588A96278F34,LIQ_0F4168490E,32.1,internal_test,yes,46.21,15.82,PA_CA0291,probe_assisted,CA0292,LIQ_6656B41AB7,1,yes,no,insufficient_probes,insufficient_probes,no,,1.0,,,,yes,fewer_than_two_unique_probes,no
CA0292,CA0292,SRC022,SFC_588A96278F34,LIQ_6656B41AB7,28.09,internal_test,yes,46.21,15.82,PA_CA0292,probe_assisted,CA0291,LIQ_0F4168490E,1,yes,no,insufficient_probes,insufficient_probes,no,,1.0,,,,yes,fewer_than_two_unique_probes,no
CA0293,CA0293,SRC022,SFC_A2BE3F1765AE,LIQ_0F4168490E,19.9,internal_test,yes,47.75,19.12,PA_CA0293,probe_assisted,CA0294,LIQ_6656B41AB7,1,yes,no,insufficient_probes,insufficient_probes,no,,1.0,,,,yes,fewer_than_two_unique_probes,no
CA0294,CA0294,SRC022,SFC_A2BE3F1765AE,LIQ_6656B41AB7,24.19,internal_test,yes,47.75,19.12,PA_CA0294,probe_assisted,CA0293,LIQ_0F4168490E,1,yes,no,insufficient_probes,insufficient_probes,no,,1.0,,,,yes,fewer_than_two_unique_probes,no
CA0295,CA0295,SRC022,SFC_292FB4EA5D24,LIQ_0F4168490E,23.42,internal_test,yes,45.73,19.24,PA_CA0295,probe_assisted,CA0296,LIQ_6656B41AB7,1,yes,no,insufficient_probes,insufficient_probes,no,,1.0,,,,yes,fewer_than_two_unique_probes,no
CA0296,CA0296,SRC022,SFC_292FB4EA5D24,LIQ_6656B41AB7,29.15,internal_test,yes,45.73,19.24,PA_CA0296,probe_assisted,CA0295,LIQ_0F4168490E,1,yes,no,insufficient_probes,insufficient_probes,no,,1.0,,,,yes,fewer_than_two_unique_probes,no
CA0297,CA0297,SRC022,SFC_BD3224C101E4,LIQ_0F4168490E,48.03,internal_test,yes,43.51,9.4,PA_CA0297,probe_assisted,CA0298,LIQ_6656B41AB7,1,yes,no,insufficient_probes,insufficient_probes,no,,1.0,,,,yes,fewer_than_two_unique_probes,no
CA0298,CA0298,SRC022,SFC_BD3224C101E4,LIQ_6656B41AB7,32.62,internal_test,yes,43.51,9.4,PA_CA0298,probe_assisted,CA0297,LIQ_0F4168490E,1,yes,no,insufficient_probes,insufficient_probes,no,,1.0,,,,yes,fewer_than_two_unique_probes,no
CA0299,CA0299,SRC022,SFC_2E5EA5C6D130,LIQ_0F4168490E,42.02,internal_test,yes,40.2,14.16,PA_CA0299,probe_assisted,CA0300,LIQ_6656B41AB7,1,yes,no,insufficient_probes,insufficient_probes,no,,1.0,,,,yes,fewer_than_two_unique_probes,no
CA0300,CA0300,SRC022,SFC_2E5EA5C6D130,LIQ_6656B41AB7,38.05,internal_test,yes,40.2,14.16,PA_CA0300,probe_assisted,CA0299,LIQ_0F4168490E,1,yes,no,insufficient_probes,insufficient_probes,no,,1.0,,,,yes,fewer_than_two_unique_probes,no
CA0301,CA0301,SRC022,SFC_D4A1459EC26C,LIQ_0F4168490E,49.1,internal_test,yes,38.47,10.7,PA_CA0301,probe_assisted,CA0302,LIQ_6656B41AB7,1,yes,no,insufficient_probes,insufficient_probes,no,,1.0,,,,yes,fewer_than_two_unique_probes,no
CA0302,CA0302,SRC022,SFC_D4A1459EC26C,LIQ_6656B41AB7,40.09,internal_test,yes,38.47,10.7,PA_CA0302,probe_assisted,CA0301,LIQ_0F4168490E,1,yes,no,insufficient_probes,insufficient_probes,no,,1.0,,,,yes,fewer_than_two_unique_probes,no
CA0447,CA0447,SRC017,SFC_AFFB3785B9F0,LIQ_0F4168490E,166.0,internal_test,no,,,PA_CA0447,probe_assisted,CA0448;CA0449;CA0450;CA0451;CA0452;CA0453;CA0454,LIQ_4BDC3033E4;LIQ_53310FAFB3;LIQ_63C19A56DE;LIQ_6656B41AB7;LIQ_B6950B5CB8;LIQ_E0B206B2DD;LIQ_FCA4FC7284,7,yes,yes,,interior_fit,no,0.4511102303619559,7.0,0.0484808611446575,0.0047058902839319,163.3951074611017,yes,,yes
CA0448,CA0448,SRC017,SFC_AFFB3785B9F0,LIQ_6656B41AB7,162.0,internal_test,no,,,PA_CA0448,probe_assisted,CA0447;CA0449;CA0450;CA0451;CA0452;CA0453;CA0454,LIQ_0F4168490E;LIQ_4BDC3033E4;LIQ_53310FAFB3;LIQ_63C19A56DE;LIQ_B6950B5CB8;LIQ_E0B206B2DD;LIQ_FCA4FC7284,7,yes,yes,,interior_fit,no,0.2799097954359575,7.0,0.0596926448462962,1.3278340003282633e-05,158.66071353569464,yes,,yes
CA0449,CA0449,SRC017,SFC_AFFB3785B9F0,LIQ_53310FAFB3,160.0,internal_test,no,,,PA_CA0449,probe_assisted,CA0447;CA0448;CA0450;CA0451;CA0452;CA0453;CA0454,LIQ_0F4168490E;LIQ_4BDC3033E4;LIQ_63C19A56DE;LIQ_6656B41AB7;LIQ_B6950B5CB8;LIQ_E0B206B2DD;LIQ_FCA4FC7284,7,yes,yes,,interior_fit,no,0.4767725131662671,7.0,0.0496734423303315,0.0001195222001604,161.4425844578061,yes,,yes
CA0450,CA0450,SRC017,SFC_AFFB3785B9F0,LIQ_4BDC3033E4,156.0,internal_test,no,,,PA_CA0450,probe_assisted,CA0447;CA0448;CA0449;CA0451;CA0452;CA0453;CA0454,LIQ_0F4168490E;LIQ_53310FAFB3;LIQ_63C19A56DE;LIQ_6656B41AB7;LIQ_B6950B5CB8;LIQ_E0B206B2DD;LIQ_FCA4FC7284,7,yes,yes,,interior_fit,no,0.4778223843988435,7.0,0.0485142710308005,0.0004690552833843,157.5626017518868,yes,,yes
CA0451,CA0451,SRC017,SFC_AFFB3785B9F0,LIQ_63C19A56DE,157.0,internal_test,no,,,PA_CA0451,probe_assisted,CA0447;CA0448;CA0449;CA0450;CA0452;CA0453;CA0454,LIQ_0F4168490E;LIQ_4BDC3033E4;LIQ_53310FAFB3;LIQ_6656B41AB7;LIQ_B6950B5CB8;LIQ_E0B206B2DD;LIQ_FCA4FC7284,7,yes,yes,,interior_fit,no,0.5007452936248911,7.0,0.0514767791423185,0.0003749043300578,156.18466060243955,yes,,yes
