outer_fold,config_key,max_delta_cos,source_balance,residual_penalty,expert_set,n_experts,inner_oof_mae_deg,inner_oof_source_median_mae_deg,weights_json,median_best_epoch
0,delta0.35_balanced_rp0.02,0.35,True,0.02,physics+neural+random_forest,3,17.73918062075656,20.706081982842115,"{""neural"": 0.3048709928360966, ""physics"": 3.087265686152474e-17, ""random_forest"": 0.6951290071639034}",19
0,delta0.35_balanced_rp0.02,0.35,True,0.02,physics+neural+xgboost+random_forest,4,17.21126958016413,18.723182803195915,"{""neural"": 0.0, ""physics"": 0.289972139966259, ""random_forest"": 0.2532438272939176, ""xgboost"": 0.45678403273982354}",19
0,delta0.35_balanced_rp0.05,0.35,True,0.05,physics+neural,2,18.76110492308447,23.948089294433593,"{""neural"": 1.0, ""physics"": 0.0}",19
0,delta0.35_balanced_rp0.05,0.35,True,0.05,physics+neural+xgboost,3,17.265301686332606,18.81675079624002,"{""neural"": 0.0, ""physics"": 0.380730421981808, ""xgboost"": 0.6192695780181919}",19
0,delta0.35_balanced_rp0.05,0.35,True,0.05,physics+neural+random_forest,3,17.77040959709302,20.712496945911596,"{""neural"": 0.3115157667446017, ""physics"": 0.0, ""random_forest"": 0.6884842332553983}",19
0,delta0.35_balanced_rp0.05,0.35,True,0.05,physics+neural+xgboost+random_forest,4,17.21126963630405,18.723182723646023,"{""neural"": 4.276923460571139e-17, ""physics"": 0.2899723721256407, ""random_forest"": 0.2532433948293921, ""xgboost"": 0.4567842330449671}",19
0,delta0.35_unbalanced_rp0.02,0.35,False,0.02,physics+neural,2,19.040176889501467,23.776898165102356,"{""neural"": 1.0, ""physics"": 0.0}",21
0,delta0.35_unbalanced_rp0.02,0.35,False,0.02,physics+neural+xgboost,3,17.261639766828914,18.832725925486226,"{""neural"": 0.09461177124356068, ""physics"": 0.29858343414680905, ""xgboost"": 0.6068047946096303}",21
0,delta0.35_unbalanced_rp0.02,0.35,False,0.02,physics+neural+random_forest,3,17.685955046423032,20.82462001735455,"{""neural"": 0.292522298725308, ""physics"": 2.1035555025292196e-16, ""random_forest"": 0.7074777012746918}",21
0,delta0.35_unbalanced_rp0.02,0.35,False,0.02,physics+neural+xgboost+random_forest,4,17.211269682773366,18.723182446576804,"{""neural"": 7.8198081690517e-18, ""physics"": 0.28997299333319937, ""random_forest"": 0.2532444145526572, ""xgboost"": 0.4567825921141435}",21
