outer_fold,config_key,max_delta_cos,source_balance,residual_penalty,expert_set,n_experts,inner_oof_mae_deg,inner_oof_source_median_mae_deg,weights_json,median_best_epoch
1,delta0.25_unbalanced_rp0.05,0.25,False,0.05,physics+neural,2,19.084358902603896,19.982128970225652,"{""neural"": 0.9999999999999974, ""physics"": 2.5535129566378604e-15}",5
1,delta0.25_unbalanced_rp0.05,0.25,False,0.05,physics+neural+xgboost,3,16.269053189360562,19.659283665226777,"{""neural"": 8.64863736182997e-14, ""physics"": 1.468825061579082e-13, ""xgboost"": 0.9999999999997666}",5
1,delta0.25_unbalanced_rp0.05,0.25,False,0.05,physics+neural+random_forest,3,17.31349902191256,19.449054251000117,"{""neural"": 1.0341727474383334e-13, ""physics"": 2.6062485503075555e-13, ""random_forest"": 0.999999999999636}",5
1,delta0.25_unbalanced_rp0.05,0.25,False,0.05,physics+neural+xgboost+random_forest,4,16.128422366950236,19.07040115909058,"{""neural"": 1.2034390004704898e-16, ""physics"": 0.0, ""random_forest"": 0.20477701438732238, ""xgboost"": 0.7952229856126775}",5
1,delta0.35_balanced_rp0.02,0.35,True,0.02,physics+neural,2,18.672208111703732,20.64320717493693,"{""neural"": 1.0, ""physics"": 0.0}",3
1,delta0.35_balanced_rp0.02,0.35,True,0.02,physics+neural+xgboost,3,16.263889938860643,19.0929854145812,"{""neural"": 0.06132216204324308, ""physics"": 0.0, ""xgboost"": 0.938677837956757}",3
1,delta0.35_balanced_rp0.02,0.35,True,0.02,physics+neural+random_forest,3,17.28921410941398,18.833488977613044,"{""neural"": 0.12350162866110698, ""physics"": 0.0, ""random_forest"": 0.876498371338893}",3
1,delta0.35_balanced_rp0.02,0.35,True,0.02,physics+neural+xgboost+random_forest,4,16.128422367120645,19.07040116054817,"{""neural"": 8.51786496154283e-16, ""physics"": 0.0, ""random_forest"": 0.2047770135036397, ""xgboost"": 0.7952229864963594}",3
1,delta0.35_balanced_rp0.05,0.35,True,0.05,physics+neural,2,19.302772183741556,21.460980938275654,"{""neural"": 0.9999999999999987, ""physics"": 1.3322676295501878e-15}",3
1,delta0.35_balanced_rp0.05,0.35,True,0.05,physics+neural+xgboost,3,16.26905318936035,19.6592836652273,"{""neural"": 0.0, ""physics"": 0.0, ""xgboost"": 1.0}",3
1,delta0.35_balanced_rp0.05,0.35,True,0.05,physics+neural+random_forest,3,17.31349902191252,19.449054250999765,"{""neural"": 1.1302070390684094e-13, ""physics"": 2.5157653738006047e-13, ""random_forest"": 0.9999999999996354}",3
1,delta0.35_balanced_rp0.05,0.35,True,0.05,physics+neural+xgboost+random_forest,4,16.12842236244235,19.07040112053282,"{""neural"": 0.0, ""physics"": 2.3661214860245335e-14, ""random_forest"": 0.2047770377632554, ""xgboost"": 0.795222962236721}",3
1,delta0.35_unbalanced_rp0.02,0.35,False,0.02,physics+neural,2,18.53174204777526,20.45423071225484,"{""neural"": 1.0, ""physics"": 0.0}",9
1,delta0.35_unbalanced_rp0.02,0.35,False,0.02,physics+neural+xgboost,3,16.273176154533132,19.402025676374244,"{""neural"": 0.03375439908128114, ""physics"": 0.0, ""xgboost"": 0.9662456009187189}",9
1,delta0.35_unbalanced_rp0.02,0.35,False,0.02,physics+neural+random_forest,3,17.311629540687914,19.20482236234495,"{""neural"": 0.03453239463875126, ""physics"": 7.732828049764051e-15, ""random_forest"": 0.965467605361241}",9
