measurement_id,surface_group_id,source_group_id,liquid_id,contact_angle_deg,contact_angle_type,measurement_method,temperature_K,humidity_percent,pressure_atm,droplet_volume_uL,replicates_n,contact_angle_std_deg,contact_angle_min_deg,contact_angle_max_deg,quality_grade,conflict_flag,solid_total_surface_energy_mJ_m2,solid_dispersion_mJ_m2,solid_polar_mJ_m2,solid_surface_energy_source,solid_surface_energy_source_type,data_extraction_note,record_id,sfe_source_type,new_external_source_flag,target_eligible
CA0030,SFC_F715B35B2C9F,SRC023,LIQ_53310FAFB3,48.0,static,sessile_drop,298.15,,1.0,,,,,,C_low,unclear_condition,49.0,28.0,21.0,project/default or same source when available,assumed_or_estimated,legacy literature-derived/project-internal source; no row-level DOI available,CA0030,assumed_or_estimated,no,diagnostic_only
CA0031,SFC_04353B2CE787,SRC023,LIQ_1BD1B94C09,55.0,static,sessile_drop,298.15,,1.0,,,,,,C_low,unclear_condition,42.0,21.0,21.0,project/default or same source when available,assumed_or_estimated,legacy literature-derived/project-internal source; no row-level DOI available,CA0031,assumed_or_estimated,no,diagnostic_only
CA0032,SFC_96578C5761C3,SRC023,LIQ_1BD1B94C09,52.0,static,sessile_drop,298.15,,1.0,,,,,,C_low,unclear_condition,45.0,22.5,22.5,project/default or same source when available,assumed_or_estimated,legacy literature-derived/project-internal source; no row-level DOI available,CA0032,assumed_or_estimated,no,diagnostic_only
CA0033,SFC_A713C80D8A86,SRC023,LIQ_1BD1B94C09,58.0,static,sessile_drop,298.15,,1.0,,,,,,C_low,unclear_condition,44.0,32.0,12.0,project/default or same source when available,assumed_or_estimated,legacy literature-derived/project-internal source; no row-level DOI available,CA0033,assumed_or_estimated,no,diagnostic_only
CA0034,SFC_833BD19E975A,SRC023,LIQ_1BD1B94C09,62.0,static,sessile_drop,298.15,,1.0,,,,,,C_low,unclear_condition,42.0,32.0,10.0,project/default or same source when available,assumed_or_estimated,legacy literature-derived/project-internal source; no row-level DOI available,CA0034,assumed_or_estimated,no,diagnostic_only
CA0035,SFC_EF3937BBEA40,SRC023,LIQ_1BD1B94C09,48.0,static,sessile_drop,298.15,,1.0,,,,,,C_low,unclear_condition,46.0,34.0,12.0,project/default or same source when available,assumed_or_estimated,legacy literature-derived/project-internal source; no row-level DOI available,CA0035,assumed_or_estimated,no,diagnostic_only
CA0036,SFC_B1C3F4195927,SRC023,LIQ_1BD1B94C09,46.0,static,sessile_drop,298.15,,1.0,,,,,,C_low,unclear_condition,47.0,35.0,12.0,project/default or same source when available,assumed_or_estimated,legacy literature-derived/project-internal source; no row-level DOI available,CA0036,assumed_or_estimated,no,diagnostic_only
CA0037,SFC_3269642DA2B0,SRC023,LIQ_1BD1B94C09,50.0,static,sessile_drop,298.15,,1.0,,,,,,C_low,unclear_condition,48.0,30.0,18.0,project/default or same source when available,assumed_or_estimated,legacy literature-derived/project-internal source; no row-level DOI available,CA0037,assumed_or_estimated,no,diagnostic_only
CA0038,SFC_258CBA406DD6,SRC023,LIQ_1BD1B94C09,56.0,static,sessile_drop,298.15,,1.0,,,,,,C_low,unclear_condition,43.0,30.0,13.0,project/default or same source when available,assumed_or_estimated,legacy literature-derived/project-internal source; no row-level DOI available,CA0038,assumed_or_estimated,no,diagnostic_only
CA0039,SFC_DB683EF7A2C1,SRC023,LIQ_1BD1B94C09,60.0,static,sessile_drop,298.15,,1.0,,,,,,C_low,unclear_condition,40.0,30.0,10.0,project/default or same source when available,assumed_or_estimated,legacy literature-derived/project-internal source; no row-level DOI available,CA0039,assumed_or_estimated,no,diagnostic_only
CA0040,SFC_EEA5FB824E7A,SRC023,LIQ_1BD1B94C09,55.0,static,sessile_drop,298.15,,1.0,,,,,,C_low,unclear_condition,44.0,31.0,13.0,project/default or same source when available,assumed_or_estimated,legacy literature-derived/project-internal source; no row-level DOI available,CA0040,assumed_or_estimated,no,diagnostic_only
CA0041,SFC_E24B19E460DE,SRC023,LIQ_1BD1B94C09,65.0,static,sessile_drop,298.15,,1.0,,,,,,C_low,unclear_condition,42.0,36.0,6.0,project/default or same source when available,assumed_or_estimated,legacy literature-derived/project-internal source; no row-level DOI available,CA0041,assumed_or_estimated,no,diagnostic_only
CA0042,SFC_782084083F60,SRC023,LIQ_1BD1B94C09,54.0,static,sessile_drop,298.15,,1.0,,,,,,C_low,unclear_condition,44.0,28.0,16.0,project/default or same source when available,assumed_or_estimated,legacy literature-derived/project-internal source; no row-level DOI available,CA0042,assumed_or_estimated,no,diagnostic_only
