source_group_id,model,n,mae_deg,rmse_deg,r2,medae_deg,p90ae_deg
SRC002,ridge_residual,4,45.40410828590393,50.88838154564216,-0.4495535271955522,33.59213852882385,70.05535879135132
SRC004,ridge_residual,45,6.603933260175917,7.362298596385518,0.852187166181096,6.459494590759277,10.554769706726074
SRC014,ridge_residual,27,10.806859775825783,13.754972802161792,0.3649739518670927,9.157549858093262,23.375732517242444
SRC016,ridge_residual,18,13.685564041137695,18.5134564844354,0.3573641508067318,9.822679996490479,32.91137804985047
SRC019,ridge_residual,60,20.186898215611777,23.422191212347272,-0.9576344307950633,18.20960307121277,39.03822147846222
SRC020,ridge_residual,24,31.831010550260544,38.72020441426478,-1.0395369761077164,35.90157663822174,54.692237567901614
SRC021,ridge_residual,32,42.15897172689438,54.98793614618326,-0.27448783181223857,32.48161029815674,111.7825773239137
SRC001,direct_xgboost,30,15.05978177547455,17.45250607229762,0.5452853650101288,14.279268646240233,26.550988616943364
SRC002,direct_xgboost,4,44.4782917022705,44.66844672394644,-0.11685985599218651,42.89185791015625,48.954961395263666
SRC004,direct_xgboost,45,16.532357279459635,18.298126005826784,0.08694168388153023,18.11274871826172,27.433176269531252
SRC014,direct_xgboost,27,12.716969920970778,15.915139317333995,0.14985509309790923,9.817273712158205,23.990384826660158
SRC016,direct_xgboost,18,10.801715321011013,13.474415817055613,0.6595841127342389,9.07640724182129,23.28486881256104
SRC019,direct_xgboost,60,9.2272926902771,11.513536455293494,0.5269641767308102,7.279573440551758,19.387499160766602
SRC020,direct_xgboost,24,27.619379631181562,33.01616853052109,-0.48289242257471976,26.05560474395752,57.93243942111731
SRC021,direct_xgboost,32,28.39273591041565,38.39154218361775,0.3787420345402046,23.55103988647461,74.86873592376715
SRC001,physics_residual_xgboost,30,14.087425653735796,17.211448654413257,0.5577598304941556,13.137061738967894,28.48857900619507
SRC002,physics_residual_xgboost,4,44.9647562623024,53.37669114574539,-0.5947781459100443,30.17594785690308,75.6776755309105
SRC004,physics_residual_xgboost,45,12.266510754691229,13.28296285854905,0.5188558552269176,12.248444938659667,18.115203933715826
SRC014,physics_residual_xgboost,27,13.036424952745437,17.30258415627793,-0.004833275476635368,10.745107555389403,24.570823364257812
SRC016,physics_residual_xgboost,18,7.641386034919157,9.700810472822386,0.8235563760561494,5.005343818664549,14.489701879024503
SRC019,physics_residual_xgboost,60,9.982396537748476,11.729851093730218,0.509022547235241,9.704020738601685,19.43133902072907
SRC020,physics_residual_xgboost,24,22.32468976924817,27.781765648348593,-0.049967817128096614,20.568116416037086,51.36482605308294
SRC021,physics_residual_xgboost,32,28.35234299749136,37.00703689683694,0.4227426381186645,24.363180828094485,69.31024246215827
SRC001,source_weighted_physics_residual_xgboost,30,13.154333519538246,16.394849782105293,0.5987285879342925,9.716455905139448,24.178991537094124
SRC002,source_weighted_physics_residual_xgboost,4,44.688902297616,53.13583767537002,-0.5804182734191277,30.015254342556005,75.36859299421312
SRC004,source_weighted_physics_residual_xgboost,45,11.778013943566215,12.669513311541534,0.5622711685415334,12.461946105957033,17.147817306518554
SRC014,source_weighted_physics_residual_xgboost,27,12.809348727155614,16.830598472859315,0.04923937749892904,9.493456077575686,23.47024998664856
SRC016,source_weighted_physics_residual_xgboost,18,8.504068004422717,10.461040504458214,0.7948177929944586,6.75975580215454,19.029043116569518
SRC019,source_weighted_physics_residual_xgboost,60,9.10669239024321,11.016458549361548,0.5669275469249679,8.215848194062708,18.53769958376884
SRC020,source_weighted_physics_residual_xgboost,24,21.716787242268527,26.651103966730723,0.033756228335941385,20.337938846647738,49.70620860904455
SRC021,source_weighted_physics_residual_xgboost,32,27.52111972644925,35.71099593462411,0.46246743669280177,23.934215688705443,66.09279514312749
